,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NATIONAL,REGIONAL,2016,2015,Institution Name,Country/ Territory,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall,,,,,
,,RANK,RANK,RANK,RANK,,,SIZE,FOCUS,RES.,AGE,STATUS,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,,,,,
sort order,id,rank in country,rank in subregion,rank display,rank display2,institution,country code,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,score scaled,,,,,
78813087,424,26,29,78,79,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",US,L,FC,VH,5,A,76.9,88,44.8,269,77.1,128,74.7,95,34.2,370,16.4,401+,68.1,,,,,
79216063,105,1,24,79,  82=,KATHOLIEKE UNIVERSITEIT LEUVEN ,BE,XL,FC,VH,5,A,87.4,64,71.6,114,8.1,401+,89.4,44,83.7,175,41.3,338,67.9,,,,,
80891117,693,3,25,80,  85=,UNIVERSITY OF ZURICH,CH,L,FC,VH,5,A,68.6,118,69.3,119,95.8,53,29.9,401+,100.0,40,62.2,227,67.8,,,,,
81465057,37,1,7,81,  82=,THE UNIVERSITY OF AUCKLAND,NZ,L,FC,VH,5,A,90.1,58,85.8,71,18.8,401+,50.0,231,86.5,162,89.5,106,67.3,,,,,
82704098,59,15,26,82,76,UNIVERSITY OF BIRMINGHAM,UK,L,FC,VH,5,A,73.9,99,88.7,65,49.3,264,50.1,227,90.3,142,84.3,126,67.2,,,,,
83361198,502,3,17,83,  87=,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),KR,S,FO,VH,3,B,47.0,199,57.3,176,99.5,32,100.0,9,44.5,320,6.7,401+,67.0,,,,,
84472110,558,16,27,84,80,THE UNIVERSITY OF SHEFFIELD,UK,L,FC,VH,5,A,70.3,111,66.2,133,62.7,199,52.0,214,84.8,171,97.1,59,66.9,,,,,
85512047,78,1,1,  85=,  124=,UNIVERSIDAD DE BUENOS AIRES,AR,XL,FC,VH,5,A,92.8,48,98.9,25,65.2,186,2.4,401+,46.4,310,58.4,240,65.8,,,,,
85714076,85,27,30,  85=,  85=,"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",US,XL,FC,VH,5,A,80.6,77,49.9,225,25.6,401+,88.7,48,65.5,238,47.6,299,65.8,,,,,
87845137,567,17,28,87,81,UNIVERSITY OF SOUTHAMPTON,UK,L,FC,VH,5,A,63.3,138,48.2,237,72.8,151,56.2,189,93.3,125,96.0,72,65.6,,,,,
88344092,465,28,31,88,99,OHIO STATE UNIVERSITY,US,XL,FC,VH,5,A,75.5,93,52.0,210,77.2,126,40.1,303,81.3,186,48.1,295,65.4,,,,,
89059105,63,29,32,89,91,BOSTON UNIVERSITY,US,L,FC,VH,5,B,71.3,106,83.9,77,56.5,228,63.1,146,9.4,401+,77.7,153,65.2,,,,,
90391221,524,30,33,90,106,RICE UNIVERSITY,US,M,FC,VH,5,B,43.0,222,20.5,401+,85.4,97,98.0,18,89.2,147,88.8,107,65.0,,,,,
91762093,260,1,3,91,  96=,UNIVERSITY OF HELSINKI,FI,L,CO,VH,5,A,75.5,94,57.2,177,93.7,65,31.2,390,65.0,241,10.8,401+,64.7,,,,,
92376097,510,31,34,92,  89=,PURDUE UNIVERSITY,US,XL,FC,VH,5,A,74.5,98,70.8,116,30.2,401+,63.6,144,96.1,106,77.4,154,64.5,,,,,
93784101,338,18,29,93,  87=,UNIVERSITY OF LEEDS,UK,L,FC,VH,5,A,72.0,102,81.8,87,49.3,265,47.3,260,77.9,193,77.4,155,64.2,,,,,
94691108,15,4,35,94,  96=,UNIVERSITY OF ALBERTA,CA,XL,FC,VH,5,A,70.6,109,61.9,153,53.5,246,49.8,234,92.6,130,83.5,131,64.0,,,,,
95357075,494,32,36,  95=,101,PENNSYLVANIA STATE UNIVERSITY,US,XL,FC,VH,5,A,81.3,76,72.1,112,24.4,401+,81.6,71,11.4,401+,44.1,320,63.6,,,,,
95752155,221,4,30,  95=,  89=,UNIVERSITY OF GENEVA,CH,L,FC,VH,5,A,57.8,156,31.4,386,53.7,244,81.9,69,100.0,29,99.5,29,63.6,,,,,
97243176,535,2,4,97,92,"KTH, ROYAL INSTITUTE OF TECHNOLOGY",SE,L,CO,VH,5,A,52.2,177,88.1,67,62.0,205,71.3,112,90.6,140,42.9,325,63.1,,,,,
98238156,310,4,31,  98=,93,"KIT, KARLSRUHER INSTITUT F‹R TECHNOLOGIE",DE,L,CO,VH,4,A,57.4,157,94.8,44,66.0,180,58.7,169,58.4,267,49.6,288,62.8,,,,,
98242106,325,4,18,  98=,104,KOREA UNIVERSITY,KR,L,FC,VH,5,B,70.8,107,82.6,83,82.9,107,34.9,355,18.8,401+,35.1,377,62.8,,,,,
98489118,167,1,31,  98=,78,TRINITY COLLEGE DUBLIN (TCD),IE,L,FC,VH,5,A,68.2,119,57.8,172,39.6,330,62.4,151,98.0,82,85.9,119,62.8,,,,,
98893084,643,3,5,  98=,102,UPPSALA UNIVERSITY,SE,L,FC,VH,5,A,77.6,85,53.1,203,48.5,274,59.5,165,24.6,401+,71.6,177,62.8,,,,,
102260081,340,3,33,  102=,95,LEIDEN UNIVERSITY,NL,L,FC,VH,5,A,78.8,82,43.9,276,38.7,334,69.9,122,71.0,212,30.6,401+,62.7,,,,,
